,Player,Team,Pos.,Positional Value,Overall Value,Current APY,Value Over APY,Injury-Adjusted Value,Injury-Adjusted APY,Injury-Adjusted Value Over APY,2020 Cash Due,Value Over Cash
0,Russell Wilson,Seahawks,QB,"$29,249,000","$29,249,000","$35,000,000","($5,751,000)","$29,249,000","$35,000,000","($5,751,000)","$18,000,000","$11,249,000"
1,Lamar Jackson,Ravens,QB,"$28,883,000","$28,883,000","$2,367,913","$26,515,087","$28,883,000","$2,367,913","$26,515,087","$1,341,060","$27,541,940"
2,Dak Prescott,Cowboys,QB,"$28,694,000","$28,694,000","$680,848","$28,013,152","$28,694,000","$680,848","$28,013,152","$31,409,000","($2,715,000)"
3,Aaron Rodgers,Packers,QB,"$25,150,000","$25,150,000","$33,500,000","($8,350,000)","$25,150,000","$33,500,000","($8,350,000)","$7,290,000","$17,860,000"
4,Tom Brady,Patriots,QB,"$24,611,000","$24,611,000","$23,000,000","$1,611,000","$24,611,000","$23,000,000","$1,611,000","$25,000,000","($389,000)"
5,Carson Wentz,Eagles,QB,"$24,177,000","$24,177,000","$32,000,000","($7,823,000)","$24,177,000","$32,000,000","($7,823,000)","$39,383,000","($15,206,000)"
6,Deshaun Watson,Texans,QB,"$24,011,000","$24,011,000","$3,463,621","$20,547,379","$24,011,000","$3,463,621","$20,547,379","$2,354,247","$21,656,753"
7,Matt Ryan,Falcons,QB,"$23,534,000","$23,534,000","$30,000,000","($6,466,000)","$24,941,700","$28,125,000","($3,183,300)","$20,500,000","$3,034,000"
8,Jameis Winston,Buccaneers,QB,"$23,468,000","$23,468,000","$6,337,819","$17,130,181","$23,468,000","$6,337,819","$17,130,181","$1,100,000","$22,368,000"
9,Jared Goff,Rams,QB,"$22,737,000","$22,737,000","$33,500,000","($10,763,000)","$22,737,000","$33,500,000","($10,763,000)","$31,042,682","($8,305,682)"
10,Derek Carr,Raiders,QB,"$22,675,000","$22,675,000","$25,005,000","($2,330,000)","$22,675,000","$25,005,000","($2,330,000)","$19,000,000","$3,675,000"
11,Patrick Mahomes,Chiefs,QB,"$22,280,000","$22,280,000","$4,106,491","$18,173,509","$25,048,321","$3,593,180","$21,455,141","$2,794,905","$19,485,095"
12,Jimmy Garoppolo,49ers,QB,"$22,201,000","$22,201,000","$27,500,000","($5,299,000)","$22,201,000","$27,500,000","($5,299,000)","$25,200,000","($2,999,000)"
13,Kirk Cousins,Vikings,QB,"$21,742,000","$21,742,000","$28,000,000","($6,258,000)","$21,742,000","$28,000,000","($6,258,000)","$40,000,000","($18,258,000)"
14,Philip Rivers,Chargers,QB,"$21,492,000","$21,492,000","$20,812,500","$679,500","$21,492,000","$20,812,500","$679,500","$25,000,000","($3,508,000)"
15,T.J. Watt,Steelers,34OLB,"$21,153,000","$21,303,000","$2,314,703","$18,988,297","$21,153,000","$2,314,703","$18,838,297","$1,727,565","$19,575,435"
16,Danielle Hunter,Vikings,43DE,"$20,155,000","$20,745,000","$14,400,000","$6,345,000","$20,155,000","$14,400,000","$5,755,000","$12,000,000","$8,745,000"
17,Za'Darius Smith,Packers,34OLB,"$20,273,000","$20,735,000","$16,500,000","$4,235,000","$20,273,000","$16,500,000","$3,773,000","$12,250,000","$8,485,000"
18,Chandler Jones,Cardinals,34OLB,"$20,432,000","$20,450,000","$16,500,000","$3,950,000","$20,432,000","$16,500,000","$3,932,000","$16,000,000","$4,450,000"
19,Kyler Murray,Cardinals,QB,"$20,316,000","$20,316,000","$8,789,661","$11,526,339","$20,316,000","$8,789,661","$11,526,339","$2,183,120","$18,132,880"
20,Baker Mayfield,Browns,QB,"$19,965,000","$19,965,000","$8,170,745","$11,794,255","$19,965,000","$8,170,745","$11,794,255","$3,541,180","$16,423,820"
21,Cameron Jordan,Saints,43DE,"$19,128,000","$19,564,000","$17,500,000","$2,064,000","$19,128,000","$17,500,000","$1,628,000","$11,850,000","$7,714,000"
22,Michael Thomas,Saints,WR,"$19,334,000","$19,352,000","$19,250,000","$102,000","$19,334,000","$19,250,000","$84,000","$11,000,000","$8,352,000"
23,Josh Allen,Bills,QB,"$18,349,000","$18,349,000","$5,295,759","$13,053,241","$18,349,000","$5,295,759","$13,053,241","$2,495,730","$15,853,270"
24,Joey Bosa,Chargers,43DE,"$18,071,000","$18,100,000","$6,468,418","$11,631,582","$18,071,000","$6,468,418","$11,602,582","$14,360,000","$3,740,000"
25,Shaquil Barrett,Buccaneers,34OLB,"$17,346,000","$17,787,000","$4,000,000","$13,787,000","$17,346,000","$4,000,000","$13,346,000","$15,828,000","$1,959,000"
26,Aaron Donald,Rams,34DE,"$17,043,000","$17,503,000","$22,500,000","($4,997,000)","$17,043,000","$22,500,000","($5,457,000)","$17,000,000","$503,000"
27,Chris Godwin,Buccaneers,WR,"$17,193,000","$17,196,000","$821,041","$16,374,959","$19,014,455","$718,411","$18,296,044","$2,133,000","$15,063,000"
28,Gardner Minshew,Jaguars,QB,"$17,118,000","$17,118,000","$677,904","$16,440,096","$17,118,000","$677,904","$16,440,096","$675,000","$16,443,000"
29,Ryan Fitzpatrick,Dolphins,QB,"$17,109,000","$17,109,000","$5,500,000","$11,609,000","$17,109,000","$5,500,000","$11,609,000","$8,000,000","$9,109,000"
30,Nick Bosa,49ers,43DE,"$16,099,000","$16,131,000","$8,387,967","$7,743,033","$16,099,000","$8,387,967","$7,711,033","$2,110,085","$14,020,915"
31,Mitchell Trubisky,Bears,QB,"$15,845,000","$15,845,000","$7,258,109","$8,586,891","$16,904,063","$6,804,477","$10,099,586","$4,423,968","$11,421,032"
32,Arik Armstead,49ers,43DE,"$15,076,000","$15,738,000","$2,460,657","$13,277,343","$15,076,000","$2,460,657","$12,615,343","$20,000,000","($4,262,000)"
33,Christian McCaffrey,Panthers,RB,"$15,621,000","$15,621,000","$4,310,326","$11,310,674","$15,621,000","$4,310,326","$11,310,674","$22,325,000","($6,704,000)"
34,Cameron Heyward,Steelers,34DE,"$14,997,000","$15,548,000","$10,456,200","$5,091,800","$14,997,000","$10,456,200","$4,540,800","$9,500,000","$6,048,000"
35,Andy Dalton,Bengals,QB,"$15,535,000","$15,535,000","$16,000,000","($465,000)","$15,535,000","$16,000,000","($465,000)","$3,000,000","$12,535,000"
36,Jacoby Brissett,Colts,QB,"$15,429,000","$15,429,000","$27,975,000","($12,546,000)","$16,482,417","$26,226,563","($9,744,146)","$15,000,000","$429,000"
37,Calais Campbell,Jaguars,43DE,"$14,815,000","$15,423,000","$15,000,000","$423,000","$14,815,000","$15,000,000","($185,000)","$15,000,000","$423,000"
38,Jake Matthews,Falcons,LT,"$14,908,000","$15,355,000","$14,500,000","$855,000","$14,908,000","$14,500,000","$408,000","$10,550,000","$4,805,000"
39,Khalil Mack,Bears,34OLB,"$15,288,000","$15,335,000","$23,500,000","($8,165,000)","$15,288,000","$23,500,000","($8,212,000)","$17,200,000","($1,865,000)"
40,DeAndre Hopkins,Texans,WR,"$15,159,000","$15,159,000","$16,200,000","($1,041,000)","$15,159,000","$16,200,000","($1,041,000)","$12,500,000","$2,659,000"
41,David Bakhtiari,Packers,LT,"$14,699,000","$15,136,000","$12,000,000","$3,136,000","$14,699,000","$12,000,000","$2,699,000","$11,500,000","$3,636,000"
42,Andrew Whitworth,Rams,LT,"$14,437,000","$14,892,000","$11,250,000","$3,642,000","$14,437,000","$11,250,000","$3,187,000","$10,000,000","$4,892,000"
43,Julio Jones,Falcons,WR,"$14,755,000","$14,755,000","$22,000,000","($7,245,000)","$15,555,121","$20,625,000","($5,069,879)","$22,200,000","($7,445,000)"
44,Richard Sherman,49ers,CB,"$14,704,000","$14,707,000","$9,050,000","$5,657,000","$15,389,692","$8,484,375","$6,905,317","$10,050,000","$4,657,000"
45,Ronnie Stanley,Ravens,LT,"$13,888,000","$14,319,000","$5,121,083","$9,197,917","$14,741,237","$4,801,015","$9,940,222","$12,866,000","$1,453,000"
46,Brandon Graham,Eagles,43DE,"$13,771,000","$14,226,000","$13,333,333","$892,667","$13,771,000","$13,333,333","$437,667","$13,500,000","$726,000"
47,Luke Kuechly,Panthers,ILB,"$13,635,000","$14,143,000","$12,359,059","$1,783,941","$13,635,000","$12,359,059","$1,275,941","$10,800,059","$3,342,941"
48,Carlos Dunlap,Bengals,43DE,"$13,688,000","$14,136,000","$13,500,000","$636,000","$15,068,575","$11,812,500","$3,256,075","$8,800,000","$5,336,000"
49,Dante Fowler Jr.,Rams,34OLB,"$13,990,000","$14,117,000","$12,000,000","$2,117,000","$13,990,000","$12,000,000","$1,990,000","$16,000,000","($1,883,000)"
50,Kenny Golladay,Lions,WR,"$13,994,000","$14,002,000","$799,081","$13,202,919","$13,994,000","$799,081","$13,194,919","$2,133,000","$11,869,000"
51,Von Miller,Broncos,34OLB,"$13,957,000","$13,957,000","$19,083,333","($5,126,333)","$14,719,208","$17,890,625","($3,171,417)","$18,000,000","($4,043,000)"
52,Anthony Castonzo,Colts,LT,"$13,699,000","$13,881,000","$10,953,000","$2,928,000","$13,699,000","$10,953,000","$2,746,000","$17,000,000","($3,119,000)"
53,Stephon Gilmore,Patriots,CB,"$13,815,000","$13,815,000","$13,000,000","$815,000","$13,815,000","$13,000,000","$815,000","$11,000,000","$2,815,000"
54,Allen Robinson,Bears,WR,"$13,786,000","$13,794,000","$14,000,000","($206,000)","$13,786,000","$14,000,000","($214,000)","$13,000,000","$794,000"
55,Bud Dupree,Steelers,34OLB,"$13,337,000","$13,774,000","$3,690,598","$10,083,402","$13,337,000","$3,690,598","$9,646,402","$15,828,000","($2,054,000)"
56,Terron Armstead,Saints,LT,"$13,297,000","$13,733,000","$13,000,000","$733,000","$14,044,813","$12,187,500","$1,857,313","$11,800,000","$1,933,000"
57,Laremy Tunsil,Texans,LT,"$13,266,000","$13,697,000","$3,114,413","$10,582,587","$14,821,964","$2,725,111","$12,096,853","$23,850,000","($10,153,000)"
58,DeVante Parker,Dolphins,WR,"$13,672,000","$13,683,000","$10,166,667","$3,516,333","$13,672,000","$10,166,667","$3,505,333","$5,100,000","$8,583,000"
59,Ryan Ramczyk,Saints,RT,"$13,145,000","$13,623,000","$2,222,953","$11,400,047","$13,145,000","$2,222,953","$10,922,047","$1,677,519","$11,945,481"
60,Tyler Lockett,Seahawks,WR,"$12,999,000","$13,504,000","$10,600,000","$2,904,000","$12,999,000","$10,600,000","$2,399,000","$9,000,000","$4,504,000"
61,Jarvis Landry,Browns,WR,"$13,324,000","$13,382,000","$15,100,000","($1,718,000)","$13,324,000","$15,100,000","($1,776,000)","$13,050,000","$332,000"
62,Robert Woods,Rams,WR,"$13,366,000","$13,371,000","$6,800,000","$6,571,000","$13,366,000","$6,800,000","$6,566,000","$7,000,000","$6,371,000"
63,Drew Brees,Saints,QB,"$13,367,000","$13,367,000","$25,000,000","($11,633,000)","$20,172,052","$17,187,500","$2,984,552","$25,000,000","($11,633,000)"
64,Keenan Allen,Chargers,WR,"$13,325,000","$13,330,000","$11,250,000","$2,080,000","$13,325,000","$11,250,000","$2,075,000","$10,750,000","$2,580,000"
65,Demario Davis,Saints,ILB,"$13,298,000","$13,324,000","$8,000,000","$5,324,000","$13,298,000","$8,000,000","$5,298,000","$7,600,000","$5,724,000"
66,Tre'Davious White,Bills,CB,"$12,810,000","$13,268,000","$2,522,838","$10,745,162","$12,810,000","$2,522,838","$10,287,162","$1,841,093","$11,426,907"
67,D.J. Moore,Panthers,WR,"$13,169,000","$13,211,000","$2,792,829","$10,418,171","$13,954,671","$2,618,277","$11,336,394","$1,495,574","$11,715,426"
68,Courtland Sutton,Broncos,WR,"$13,069,000","$13,080,000","$1,710,483","$11,369,517","$13,069,000","$1,710,483","$11,358,517","$1,101,994","$11,978,006"
69,Grady Jarrett,Falcons,43DT,"$12,858,000","$13,006,000","$17,000,000","($3,994,000)","$12,858,000","$17,000,000","($4,142,000)","$13,500,000","($494,000)"
70,Daniel Jones,Giants,QB,"$12,997,000","$12,997,000","$6,416,014","$6,580,986","$15,349,317","$5,614,012","$9,735,305","$1,751,548","$11,245,452"
71,Ryan Tannehill,Titans,QB,"$12,957,000","$12,957,000","$7,000,000","$5,957,000","$12,957,000","$7,000,000","$5,957,000","$37,500,000","($24,543,000)"
72,Amari Cooper,Cowboys,WR,"$12,930,000","$12,930,000","$5,665,780","$7,264,220","$12,930,000","$5,665,780","$7,264,220","$20,000,000","($7,070,000)"
73,Nick Chubb,Browns,RB,"$12,781,000","$12,781,000","$1,845,774","$10,935,226","$12,781,000","$1,845,774","$10,935,226","$1,151,190","$11,629,810"
74,Justin Simmons,Broncos,S,"$12,176,000","$12,676,000","$756,855","$11,919,145","$12,176,000","$756,855","$11,419,145","$11,441,000","$1,235,000"
75,Garett Bolles,Broncos,LT,"$12,240,000","$12,670,000","$2,758,034","$9,911,966","$12,240,000","$2,758,034","$9,481,966","$1,969,383","$10,700,617"
76,Justin Houston,Colts,43DE,"$12,666,000","$12,669,000","$11,500,000","$1,169,000","$12,666,000","$11,500,000","$1,166,000","$9,000,000","$3,669,000"
77,Joe Haden,Steelers,CB,"$12,225,000","$12,654,000","$11,000,000","$1,654,000","$12,225,000","$11,000,000","$1,225,000","$7,000,000","$5,654,000"
78,Kenny Clark,Packers,34DT,"$12,583,000","$12,652,000","$2,340,411","$10,311,589","$12,583,000","$2,340,411","$10,242,589","$7,690,000","$4,962,000"
79,Mitchell Schwartz,Chiefs,RT,"$12,115,000","$12,584,000","$11,255,000","$1,329,000","$12,115,000","$11,255,000","$860,000","$5,670,000","$6,914,000"
80,Marcus Peters,Ravens,CB,"$12,569,000","$12,577,000","$14,000,000","($1,423,000)","$12,569,000","$14,000,000","($1,431,000)","$13,000,000","($423,000)"
81,Ezekiel Elliott,Cowboys,RB,"$12,517,000","$12,528,000","$15,000,000","($2,472,000)","$12,517,000","$15,000,000","($2,483,000)","$19,800,000","($7,272,000)"
82,Donovan Smith,Buccaneers,LT,"$11,824,000","$12,278,000","$13,750,000","($1,472,000)","$12,481,441","$12,890,625","($409,184)","$14,500,000","($2,222,000)"
83,Sam Darnold,Jets,QB,"$12,267,000","$12,267,000","$7,561,924","$4,705,076","$15,604,067","$6,144,063","$9,460,004","$3,319,790","$8,947,210"
84,Casey Hayward,Chargers,CB,"$12,184,000","$12,205,000","$11,416,667","$788,333","$12,184,000","$11,416,667","$767,333","$8,750,000","$3,455,000"
85,Kyle Van Noy,Patriots,34OLB,"$12,178,000","$12,204,000","$5,375,000","$6,829,000","$12,178,000","$5,375,000","$6,803,000","$15,025,000","($2,821,000)"
86,D.J. Humphries,Cardinals,LT,"$11,751,000","$12,194,000","$2,228,028","$9,965,972","$11,751,000","$2,228,028","$9,522,972","$14,400,000","($2,206,000)"
87,Jamie Collins,Patriots,43OLB,"$11,306,000","$12,145,000","$2,000,000","$10,145,000","$11,306,000","$2,000,000","$9,306,000","$11,000,000","$1,145,000"
88,Mike Evans,Buccaneers,WR,"$12,119,000","$12,122,000","$16,500,000","($4,378,000)","$14,459,115","$13,406,250","$1,052,865","$16,750,000","($4,628,000)"
89,Lavonte David,Buccaneers,ILB,"$12,002,000","$12,023,000","$10,050,000","$1,973,000","$12,002,000","$10,050,000","$1,952,000","$10,750,000","$1,273,000"
90,John Brown,Bills,WR,"$12,015,000","$12,015,000","$9,000,000","$3,015,000","$12,015,000","$9,000,000","$3,015,000","$8,150,000","$3,865,000"
91,Aaron Jones,Packers,RB,"$11,972,000","$11,972,000","$650,487","$11,321,513","$11,972,000","$650,487","$11,321,513","$2,133,000","$9,839,000"
92,Everson Griffen,Vikings,43DE,"$11,810,000","$11,945,000","$14,500,000","($2,555,000)","$11,810,000","$14,500,000","($2,690,000)",Free Agent,
93,Anthony Harris,Vikings,S,"$11,430,000","$11,921,000","$3,095,000","$8,826,000","$11,983,246","$2,901,563","$9,081,683","$11,441,000","$480,000"
94,Trey Flowers,Lions,43DE,"$11,832,000","$11,914,000","$18,000,000","($6,086,000)","$12,481,400","$16,875,000","($4,393,600)","$11,125,000","$789,000"
95,DeForest Buckner,49ers,43DT,"$11,233,000","$11,909,000","$4,547,748","$7,361,252","$11,233,000","$4,547,748","$6,685,252","$23,378,000","($11,469,000)"
96,Alejandro Villanueva,Steelers,LT,"$11,476,000","$11,903,000","$6,000,000","$5,903,000","$11,476,000","$6,000,000","$5,476,000","$5,000,000","$6,903,000"
97,Kyle Allen,Panthers,QB,"$11,761,000","$11,761,000","$487,500","$11,273,500","$11,761,000","$487,500","$11,273,500","$675,000","$11,086,000"
98,Cooper Kupp,Rams,WR,"$11,721,000","$11,726,000","$958,023","$10,767,977","$11,721,000","$958,023","$10,762,977","$2,133,000","$9,593,000"
99,Jason Peters,Eagles,LT,"$11,723,000","$11,723,000","$6,000,000","$5,723,000","$13,954,679","$4,875,000","$9,079,679",Free Agent,
100,Matt Judon,Ravens,34OLB,"$11,228,000","$11,700,000","$648,934","$11,051,066","$11,228,000","$648,934","$10,579,066","$16,808,000","($5,108,000)"
101,Zack Martin,Cowboys,RG,"$11,480,000","$11,659,000","$14,000,000","($2,341,000)","$11,480,000","$14,000,000","($2,520,000)","$11,000,000","$659,000"
102,Markus Golden,Giants,34OLB,"$11,580,000","$11,635,000","$3,750,000","$7,885,000","$11,580,000","$3,750,000","$7,830,000",Free Agent,
103,Dion Dawkins,Bills,LT,"$11,471,000","$11,629,000","$1,045,809","$10,583,191","$11,471,000","$1,045,809","$10,425,191","$1,035,441","$10,593,559"
104,Matt Ioannidis,Redskins,34DE,"$10,925,000","$11,580,000","$7,250,000","$4,330,000","$10,925,000","$7,250,000","$3,675,000","$4,500,000","$7,080,000"
105,Austin Ekeler,Chargers,RB,"$11,558,000","$11,569,000","$556,667","$11,012,333","$11,558,000","$556,667","$11,001,333","$9,500,000","$2,069,000"
106,Julian Edelman,Patriots,WR,"$11,374,000","$11,392,000","$7,750,000","$3,642,000","$11,374,000","$7,750,000","$3,624,000","$4,500,000","$6,892,000"
107,Chris Jones,Chiefs,43DT,"$11,125,000","$11,238,000","$1,557,810","$9,680,190","$13,413,180","$1,265,721","$12,147,459","$16,126,000","($4,888,000)"
108,Tyler Boyd,Bengals,WR,"$11,094,000","$11,105,000","$10,750,000","$355,000","$11,094,000","$10,750,000","$344,000","$6,650,000","$4,455,000"
109,Fletcher Cox,Eagles,43DT,"$11,037,000","$11,069,000","$17,100,000","($6,031,000)","$11,037,000","$17,100,000","($6,063,000)","$13,900,000","($2,831,000)"
110,Brandon Brooks,Eagles,RG,"$10,645,000","$11,067,000","$14,050,000","($2,983,000)","$10,645,000","$14,050,000","($3,405,000)","$9,750,000","$1,317,000"
111,Brian Poole,Jets,CB,"$10,522,000","$11,009,000","$3,000,000","$8,009,000","$11,760,607","$2,625,000","$9,135,607","$5,000,000","$6,009,000"
112,Joe Thuney,Patriots,LG,"$10,815,000","$10,952,000","$803,357","$10,148,643","$10,815,000","$803,357","$10,011,643","$14,781,000","($3,829,000)"
113,Harrison Smith,Vikings,S,"$10,812,000","$10,947,000","$10,250,000","$697,000","$10,812,000","$10,250,000","$562,000","$8,750,000","$2,197,000"
114,Preston Smith,Packers,34OLB,"$10,853,000","$10,945,000","$13,000,000","($2,055,000)","$10,853,000","$13,000,000","($2,147,000)","$9,500,000","$1,445,000"
115,Travis Kelce,Chiefs,TE,"$10,930,000","$10,930,000","$9,368,400","$1,561,600","$10,930,000","$9,368,400","$1,561,600","$9,250,000","$1,680,000"
116,Byron Jones,Cowboys,CB,"$10,280,000","$10,909,000","$2,150,485","$8,758,515","$10,280,000","$2,150,485","$8,129,515","$26,000,000","($15,091,000)"
117,Steven Nelson,Steelers,CB,"$10,474,000","$10,898,000","$8,500,000","$2,398,000","$11,051,840","$7,968,750","$3,083,090","$8,250,000","$2,648,000"
118,Michael Gallup,Cowboys,WR,"$10,816,000","$10,816,000","$880,995","$9,935,005","$12,308,402","$770,871","$11,537,531","$750,000","$10,066,000"
119,Marcus Williams,Saints,S,"$10,762,000","$10,804,000","$1,560,103","$9,243,897","$11,256,596","$1,462,597","$9,793,999","$1,315,965","$9,488,035"
120,La'el Collins,Cowboys,RT,"$10,584,000","$10,785,000","$10,000,000","$785,000","$11,113,617","$9,375,000","$1,738,617","$9,950,000","$835,000"
121,Dalvin Cook,Vikings,RB,"$10,785,000","$10,785,000","$1,588,328","$9,196,672","$11,899,464","$1,389,787","$10,509,677","$1,331,361","$9,453,639"
122,Devin McCourty,Patriots,S,"$10,147,000","$10,773,000","$9,500,000","$1,273,000","$10,147,000","$9,500,000","$647,000","$14,000,000","($3,227,000)"
123,Odell Beckham Jr.,Browns,WR,"$10,699,000","$10,702,000","$18,000,000","($7,298,000)","$10,699,000","$18,000,000","($7,301,000)","$14,250,000","($3,548,000)"
124,Quenton Nelson,Colts,LG,"$10,185,000","$10,622,000","$5,972,228","$4,649,772","$10,185,000","$5,972,228","$4,212,772","$2,741,720","$7,880,280"
125,Marlon Humphrey,Ravens,CB,"$10,483,000","$10,586,000","$2,961,870","$7,624,130","$10,483,000","$2,961,870","$7,521,130","$2,080,566","$8,505,434"
126,D.J. Chark,Jaguars,WR,"$10,397,000","$10,513,000","$1,111,808","$9,401,192","$11,016,717","$1,042,320","$9,974,397","$884,294","$9,628,706"
127,Harold Landry,Titans,34OLB,"$10,435,000","$10,496,000","$1,683,423","$8,812,577","$10,435,000","$1,683,423","$8,751,577","$1,092,154","$9,403,846"
128,Demarcus Lawrence,Cowboys,43DE,"$10,264,000","$10,420,000","$21,000,000","($10,580,000)","$10,264,000","$21,000,000","($10,736,000)","$16,900,000","($6,480,000)"
129,Ryan Jensen,Buccaneers,C,"$10,369,000","$10,369,000","$10,500,000","($131,000)","$10,369,000","$10,500,000","($131,000)","$10,000,000","$369,000"
130,Tyron Smith,Cowboys,LT,"$9,928,000","$10,365,000","$12,200,000","($1,835,000)","$11,982,034","$9,912,500","$2,069,534","$10,000,000","$365,000"
131,Sam Hubbard,Bengals,43DE,"$9,861,000","$10,344,000","$904,800","$9,439,200","$10,525,017","$848,250","$9,676,767","$750,000","$9,594,000"
132,Taylor Moton,Panthers,RT,"$9,885,000","$10,322,000","$1,039,538","$9,282,462","$9,885,000","$1,039,538","$8,845,462","$1,032,021","$9,289,979"
133,Eric Kendricks,Vikings,ILB,"$9,832,000","$10,264,000","$10,000,000","$264,000","$10,403,117","$9,375,000","$1,028,117","$7,500,000","$2,764,000"
134,Darren Waller,Raiders,TE,"$10,252,000","$10,263,000","$630,000","$9,633,000","$10,252,000","$630,000","$9,622,000","$7,530,000","$2,733,000"
135,Geno Atkins,Bengals,43DT,"$10,219,000","$10,230,000","$16,300,000","($6,070,000)","$10,219,000","$16,300,000","($6,081,000)","$11,600,000","($1,370,000)"
136,Terry McLaurin,Redskins,WR,"$10,211,000","$10,219,000","$961,918","$9,257,082","$11,604,339","$841,678","$10,762,661","$681,451","$9,537,549"
137,Ali Marpet,Buccaneers,LG,"$9,676,000","$10,151,000","$10,825,000","($674,000)","$9,676,000","$10,825,000","($1,149,000)","$10,625,000","($474,000)"
138,Emmanuel Sanders,49ers,WR,"$10,101,000","$10,101,000","$11,000,000","($899,000)","$10,101,000","$11,000,000","($899,000)","$8,000,000","$2,101,000"
139,Brandon Linder,Jaguars,C,"$10,029,000","$10,063,000","$10,340,600","($277,600)","$10,029,000","$10,340,600","($311,600)","$8,000,000","$2,063,000"
140,Jaylon Smith,Cowboys,ILB,"$9,591,000","$10,045,000","$12,750,000","($2,705,000)","$9,591,000","$12,750,000","($3,159,000)","$13,171,000","($3,126,000)"
141,Javon Hargrave,Steelers,34DT,"$10,015,000","$10,026,000","$778,564","$9,247,436","$10,015,000","$778,564","$9,236,436","$13,000,000","($2,974,000)"
142,Vita Vea,Buccaneers,34DT,"$9,433,000","$9,962,000","$3,706,060","$6,255,940","$9,433,000","$3,706,060","$5,726,940","$1,827,658","$8,134,342"
143,Kevin Byard,Titans,S,"$9,489,000","$9,956,000","$14,100,000","($4,144,000)","$9,489,000","$14,100,000","($4,611,000)","$9,100,000","$856,000"
144,George Kittle,49ers,TE,"$9,947,000","$9,952,000","$674,574","$9,277,426","$11,156,848","$590,252","$10,566,596","$2,133,000","$7,819,000"
145,Matt Feiler,Steelers,RT,"$9,478,000","$9,902,000","$645,000","$9,257,000","$9,478,000","$645,000","$8,833,000","$3,259,000","$6,643,000"
146,Mike Williams,Chargers,WR,"$9,877,000","$9,882,000","$4,937,514","$4,944,486","$10,512,667","$4,628,919","$5,883,748","$3,248,190","$6,633,810"
147,D.K. Metcalf,Seahawks,WR,"$9,850,000","$9,868,000","$1,146,513","$8,721,487","$9,850,000","$1,146,513","$8,703,487","$703,457","$9,164,543"
148,Erik McCoy,Saints,LG,"$9,357,000","$9,829,000","$1,522,646","$8,306,354","$9,357,000","$1,522,646","$7,834,354","$771,845","$9,057,155"
149,Derrick Henry,Titans,RB,"$9,722,000","$9,722,000","$1,351,983","$8,370,017","$10,222,538","$1,267,484","$8,955,054","$10,278,000","($556,000)"
150,Stefon Diggs,Vikings,WR,"$9,703,000","$9,708,000","$14,400,000","($4,692,000)","$9,703,000","$14,400,000","($4,697,000)","$11,500,000","($1,792,000)"
151,Leonard Fournette,Jaguars,RB,"$9,705,000","$9,705,000","$6,786,894","$2,918,106","$10,266,088","$6,362,713","$3,903,375","$4,167,393","$5,537,607"
152,Chris Carson,Seahawks,RB,"$9,666,000","$9,666,000","$616,285","$9,049,715","$10,192,488","$577,767","$9,614,721","$2,133,000","$7,533,000"
153,Austin Reiter,Chiefs,C,"$9,059,000","$9,536,000","$2,275,000","$7,261,000","$9,059,000","$2,275,000","$6,784,000","$2,825,000","$6,711,000"
154,Zach Ertz,Eagles,TE,"$9,511,000","$9,519,000","$8,500,000","$1,019,000","$10,057,425","$7,968,750","$2,088,675","$7,750,000","$1,769,000"
155,Brian O'Neill,Vikings,RT,"$9,051,000","$9,498,000","$1,101,660","$8,396,340","$9,051,000","$1,101,660","$7,949,340","$880,604","$8,617,396"
156,Devon Kennard,Lions,43OLB,"$9,297,000","$9,432,000","$5,750,000","$3,682,000","$9,297,000","$5,750,000","$3,547,000","$6,250,000","$3,182,000"
157,Joel Bitonio,Browns,LG,"$8,948,000","$9,384,000","$10,000,000","($616,000)","$8,948,000","$10,000,000","($1,052,000)","$9,000,000","$384,000"
158,J.C. Tretter,Browns,C,"$9,169,000","$9,298,000","$10,850,000","($1,552,000)","$9,169,000","$10,850,000","($1,681,000)","$8,350,000","$948,000"
159,D.J. Reader,Texans,34DT,"$8,828,000","$9,272,000","$967,595","$8,304,405","$8,828,000","$967,595","$7,860,405","$22,250,000","($12,978,000)"
160,Jamal Adams,Jets,S,"$9,167,000","$9,267,000","$5,564,702","$3,702,298","$10,031,893","$4,869,114","$5,162,779","$3,590,292","$5,676,708"
161,Orlando Brown,Ravens,RT,"$8,775,000","$9,260,000","$872,930","$8,387,070","$8,775,000","$872,930","$7,902,070","$750,000","$8,510,000"
162,Charvarius Ward,Chiefs,CB,"$8,680,000","$9,240,000","$571,666","$8,668,334","$8,680,000","$571,666","$8,108,334","$750,000","$8,490,000"
163,J.C. Jackson,Patriots,CB,"$8,724,000","$9,213,000","$573,333","$8,639,667","$8,724,000","$573,333","$8,150,667","$750,000","$8,463,000"
164,Michael Brockers,Rams,34DE,"$8,713,000","$9,198,000","$11,083,333","($1,885,333)","$8,713,000","$11,083,333","($2,370,333)","$6,000,000","$3,198,000"
165,Sheldon Richardson,Browns,43DT,"$8,738,000","$9,172,000","$12,333,333","($3,161,333)","$8,738,000","$12,333,333","($3,595,333)","$12,000,000","($2,828,000)"
166,Robby Anderson,Jets,WR,"$9,128,000","$9,128,000","$3,095,000","$6,033,000","$9,128,000","$3,095,000","$6,033,000","$12,000,000","($2,872,000)"
