,Player,Team,Pos.,Positional Value,Overall Value,Current APY,Value Over APY,Injury-Adjusted Value,Injury-Adjusted APY,Injury-Adjusted Value Over APY,2020 Cash Due,Value Over Cash
612,Royce Freeman,Broncos,RB,"$3,314,000","$3,314,000","$985,005","$2,328,995","$3,314,000","$985,005","$2,328,995","$832,000","$2,482,000"
613,Bradley McDougald,Seahawks,S,"$2,863,000","$3,311,000","$4,500,000","($1,189,000)","$3,180,918","$4,218,750","($1,037,832)","$4,100,000","($789,000)"
614,Jaquiski Tartt,49ers,S,"$2,847,000","$3,308,000","$6,500,000","($3,192,000)","$4,132,354","$4,875,000","($742,646)","$4,900,000","($1,592,000)"
615,Alshon Jeffery,Eagles,WR,"$3,307,000","$3,307,000","$13,000,000","($9,693,000)","$7,049,542","$8,125,000","($1,075,458)","$11,500,000","($8,193,000)"
616,MyCole Pruitt,Titans,TE,"$2,293,000","$3,302,000","$675,000","$2,627,000","$2,293,000","$675,000","$1,618,000","$2,500,000","$802,000"
617,Brandon McManus,Broncos,K,"$3,266,000","$3,266,000","$3,751,333","($485,333)","$3,266,000","$3,751,333","($485,333)","$3,000,000","$266,000"
618,Eric Reid,Panthers,S,"$2,757,000","$3,258,000","$7,350,000","($4,092,000)","$2,757,000","$7,350,000","($4,593,000)",Free Agent,
619,Austin Corbett,Rams,C,"$3,135,000","$3,248,000","$1,879,599","$1,368,401","$3,135,000","$1,879,599","$1,255,401","$1,163,490","$2,084,510"
620,Luke Stocker,Falcons,TE,"$2,437,000","$3,232,000","$2,750,000","$482,000","$2,576,333","$2,578,125","($1,792)",Free Agent,
621,Damontae Kazee,Falcons,S,"$2,693,000","$3,219,000","$672,233","$2,546,767","$2,693,000","$672,233","$2,020,767","$2,133,000","$1,086,000"
622,Hunter Renfrow,Raiders,WR,"$3,179,000","$3,219,000","$708,987","$2,510,013","$4,144,683","$576,052","$3,568,631","$675,000","$2,544,000"
623,Michael Thomas,Giants,S,"$637,000","$3,217,000","$2,000,000","$1,217,000","$637,000","$2,000,000","($1,363,000)","$1,047,500","$2,169,500"
